,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
43,22021,202326,0022100386,"DEC 10, 2021",MIL @ HOU,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,4,0,2,1
44,22021,202326,0022100370,"DEC 08, 2021",MIL @ MIA,L,13,0,2,0.0,0,2,0.0,0,0,0.0,1,5,6,2,1,0,2,2,0,9,1
45,22021,202326,0022100358,"DEC 06, 2021",MIL vs. CLE,W,18,2,7,0.286,0,3,0.0,3,4,0.75,0,6,6,0,2,0,2,3,7,0,1
46,22021,202326,0022100344,"DEC 04, 2021",MIL vs. MIA,W,11,2,6,0.333,0,0,0.0,7,8,0.875,3,2,5,2,0,0,1,4,11,13,1
47,22021,202326,0022100324,"DEC 01, 2021",MIL vs. CHA,W,15,3,5,0.6,1,2,0.5,0,0,0.0,1,3,4,1,1,0,0,1,7,9,1
48,22020,202326,0022001058,"MAY 14, 2021",LAC @ HOU,L,17,6,9,0.667,0,0,0.0,1,1,1.0,2,3,5,1,2,1,2,4,13,-9,1
49,22020,202326,0022001047,"MAY 13, 2021",LAC @ CHA,W,5,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,2,0,0,3,2,4,1
50,22020,202326,0022001034,"MAY 11, 2021",LAC @ TOR,W,7,0,3,0.0,0,1,0.0,2,2,1.0,1,2,3,0,2,0,1,1,2,-2,1
51,22020,202326,0022001019,"MAY 09, 2021",LAC vs. NYK,L,16,4,6,0.667,0,0,0.0,0,0,0.0,0,3,3,1,2,0,1,1,8,11,1
52,22020,202326,0022001002,"MAY 06, 2021",LAC vs. LAL,W,16,5,8,0.625,1,3,0.333,0,0,0.0,1,2,3,0,1,0,0,3,11,6,1
53,22020,202326,0022000989,"MAY 04, 2021",LAC vs. TOR,W,14,3,4,0.75,1,1,1.0,0,0,0.0,1,5,6,1,0,1,2,1,7,-11,1
54,22020,202326,0022000966,"MAY 01, 2021",LAC vs. DEN,L,14,6,9,0.667,2,3,0.667,2,2,1.0,2,1,3,1,1,1,0,3,16,5,1
55,22020,202326,0022000924,"APR 26, 2021",LAC @ NOP,L,25,6,14,0.429,0,3,0.0,4,4,1.0,4,7,11,1,0,2,3,3,16,0,1
56,22020,202326,0022000901,"APR 23, 2021",LAC @ HOU,W,15,5,7,0.714,1,1,1.0,0,1,0.0,2,6,8,2,0,1,1,1,11,-2,1
57,22020,202326,0022000889,"APR 21, 2021",LAC vs. MEM,W,14,2,6,0.333,1,1,1.0,1,4,0.25,3,7,10,1,0,0,5,1,6,7,1
58,22020,202326,0022000879,"APR 20, 2021",LAC @ POR,W,13,4,6,0.667,1,1,1.0,2,2,1.0,3,3,6,1,0,0,2,2,11,-12,1
59,22020,202326,0022000867,"APR 18, 2021",LAC vs. MIN,W,15,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,3,0,0,3,3,4,-17,1
60,22020,202326,0022000846,"APR 16, 2021",LAC @ PHI,L,6,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,1,0,5,1
61,22020,202326,0022000832,"APR 14, 2021",LAC @ DET,W,15,3,9,0.333,0,2,0.0,2,2,1.0,1,2,3,0,1,0,1,2,8,0,1
62,22020,202326,0022000799,"APR 09, 2021",LAC vs. HOU,W,6,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,1,0,3,2,3,9,1
63,22020,202326,0022000775,"APR 06, 2021",LAC vs. POR,W,8,3,4,0.75,0,0,0.0,1,4,0.25,2,2,4,2,0,0,1,2,7,-7,1
64,22020,202326,0022000439,"FEB 17, 2021",HOU @ PHI,L,37,6,12,0.5,4,9,0.444,3,3,1.0,0,8,8,4,2,2,1,3,19,-4,1
65,22020,202326,0022000421,"FEB 15, 2021",HOU @ WAS,L,20,4,10,0.4,2,6,0.333,2,2,1.0,0,7,7,0,0,0,1,3,12,-7,1
66,22020,202326,0022000408,"FEB 13, 2021",HOU @ NYK,L,22,4,9,0.444,0,3,0.0,2,2,1.0,2,8,10,2,0,0,1,3,10,2,1
67,22020,202326,0022000392,"FEB 11, 2021",HOU vs. MIA,L,25,6,9,0.667,3,4,0.75,1,2,0.5,2,9,11,3,1,0,1,4,16,-3,1
68,22020,202326,0022000377,"FEB 09, 2021",HOU @ NOP,L,22,1,8,0.125,1,6,0.167,4,6,0.667,1,6,7,2,0,1,1,2,7,-13,1
69,22020,202326,0022000367,"FEB 08, 2021",HOU @ CHA,L,25,4,8,0.5,1,3,0.333,0,0,0.0,1,8,9,1,3,0,1,2,9,-10,1
70,22020,202326,0022000358,"FEB 06, 2021",HOU vs. SAS,L,30,5,12,0.417,2,7,0.286,0,0,0.0,0,11,11,2,1,2,3,3,12,-1,1
71,22020,202326,0022000340,"FEB 04, 2021",HOU @ MEM,W,16,2,5,0.4,1,3,0.333,0,0,0.0,1,5,6,3,0,0,1,4,5,-4,1
72,22020,202326,0022000333,"FEB 03, 2021",HOU @ OKC,L,26,4,10,0.4,2,6,0.333,0,2,0.0,0,5,5,1,1,1,1,4,10,-2,1
73,22020,202326,0022000318,"FEB 01, 2021",HOU @ OKC,W,21,5,14,0.357,5,9,0.556,2,2,1.0,4,4,8,3,1,0,0,4,17,19,1
74,22020,202326,0022000300,"JAN 30, 2021",HOU @ NOP,W,14,0,2,0.0,0,2,0.0,4,5,0.8,0,3,3,2,0,0,2,5,4,-3,1
75,22020,202326,0022000287,"JAN 28, 2021",HOU vs. POR,W,11,2,5,0.4,1,4,0.25,1,1,1.0,2,2,4,3,1,0,1,2,6,-15,1
76,22020,202326,0022000269,"JAN 26, 2021",HOU vs. WAS,W,33,6,11,0.545,4,8,0.5,3,5,0.6,1,10,11,2,5,1,2,5,19,6,1
77,22020,202326,0022000247,"JAN 23, 2021",HOU @ DAL,W,30,9,15,0.6,4,8,0.5,6,7,0.857,4,13,17,5,0,0,4,5,28,9,1
78,22020,202326,0022000230,"JAN 22, 2021",HOU @ DET,W,33,2,16,0.125,1,6,0.167,0,0,0.0,2,13,15,7,0,2,5,4,5,-10,1
79,22020,202326,0022000222,"JAN 20, 2021",HOU vs. PHX,L,14,1,4,0.25,0,2,0.0,1,2,0.5,0,6,6,3,0,1,2,3,3,-9,1
80,22020,202326,0022000211,"JAN 18, 2021",HOU @ CHI,L,16,0,7,0.0,0,5,0.0,2,2,1.0,1,5,6,4,0,0,2,3,2,-17,1
81,22020,202326,0022000176,"JAN 14, 2021",HOU @ SAS,W,18,2,8,0.25,2,8,0.25,3,4,0.75,1,3,4,2,1,0,3,2,9,-7,1
82,22020,202326,0022000161,"JAN 12, 2021",HOU vs. LAL,L,18,5,9,0.556,2,4,0.5,1,1,1.0,3,7,10,3,1,0,1,3,13,3,1
83,22020,202326,0022000146,"JAN 10, 2021",HOU vs. LAL,L,8,2,5,0.4,2,4,0.5,0,0,0.0,1,3,4,0,1,0,1,1,6,6,1
84,22020,202326,0022000127,"JAN 08, 2021",HOU vs. ORL,W,17,1,7,0.143,0,4,0.0,4,5,0.8,1,4,5,4,1,0,0,2,6,21,1
85,22020,202326,0022000107,"JAN 06, 2021",HOU @ IND,L,23,2,9,0.222,1,2,0.5,4,6,0.667,2,12,14,1,2,4,1,3,9,-4,1
86,22020,202326,0022000098,"JAN 04, 2021",HOU vs. DAL,L,3,2,4,0.5,0,1,0.0,0,0,0.0,1,2,3,0,0,2,1,1,4,5,1
87,22020,202326,0022000079,"JAN 02, 2021",HOU vs. SAC,W,11,1,6,0.167,0,0,0.0,0,0,0.0,0,6,6,0,0,2,1,3,2,-2,1
88,22020,202326,0022000065,"DEC 31, 2020",HOU vs. SAC,W,14,3,5,0.6,1,2,0.5,1,2,0.5,0,1,1,3,0,0,2,0,8,-7,1
89,22018,202326,0021801215,"APR 09, 2019",GSW @ NOP,W,35,7,18,0.389,1,5,0.2,6,10,0.6,0,12,12,6,1,1,3,2,21,7,1
90,22018,202326,0021801205,"APR 07, 2019",GSW vs. LAC,W,23,4,15,0.267,2,7,0.286,2,2,1.0,1,8,9,4,2,0,4,4,12,-1,1
91,22018,202326,0021801179,"APR 04, 2019",GSW @ LAL,W,24,9,17,0.529,3,7,0.429,0,1,0.0,2,8,10,1,2,0,0,1,21,27,1
92,22018,202326,0021801164,"APR 02, 2019",GSW vs. DEN,W,29,12,17,0.706,2,4,0.5,2,4,0.5,5,8,13,5,2,2,5,5,28,11,1
93,22018,202326,0021801150,"MAR 31, 2019",GSW vs. CHA,W,11,3,4,0.75,0,0,0.0,2,2,1.0,0,3,3,2,1,3,1,3,8,2,1
94,22018,202326,0021801132,"MAR 29, 2019",GSW @ MIN,L,26,4,13,0.308,0,2,0.0,8,12,0.667,2,7,9,0,1,1,2,6,16,-11,1
95,22018,202326,0021801118,"MAR 27, 2019",GSW @ MEM,W,32,7,15,0.467,1,3,0.333,1,1,1.0,1,8,9,6,3,3,3,4,16,18,1
96,22018,202326,0021801092,"MAR 23, 2019",GSW vs. DAL,L,23,8,11,0.727,1,1,1.0,2,4,0.5,3,3,6,3,0,0,3,2,19,-27,1
97,22018,202326,0021801079,"MAR 21, 2019",GSW vs. IND,W,26,8,12,0.667,0,1,0.0,3,5,0.6,2,9,11,4,0,2,3,5,19,22,1
98,22018,202326,0021801038,"MAR 16, 2019",GSW @ OKC,W,27,5,11,0.455,1,3,0.333,1,2,0.5,1,7,8,6,2,2,0,4,12,19,1
99,22018,202326,0021801018,"MAR 13, 2019",GSW @ HOU,W,32,11,16,0.688,1,2,0.5,4,4,1.0,2,6,8,7,2,0,4,3,27,7,1
100,22018,202326,0021801000,"MAR 10, 2019",GSW vs. PHX,L,28,5,11,0.455,0,3,0.0,3,3,1.0,1,4,5,2,0,2,1,4,13,-3,1
101,22018,202326,0021800984,"MAR 08, 2019",GSW vs. DEN,W,28,5,11,0.455,1,4,0.25,2,2,1.0,2,4,6,6,3,6,3,4,13,5,1
102,22018,202326,0021800964,"MAR 05, 2019",GSW vs. BOS,L,25,4,12,0.333,0,5,0.0,2,3,0.667,0,9,9,4,0,0,4,5,10,-6,1
103,22018,202326,0021800938,"MAR 02, 2019",GSW @ PHI,W,29,9,15,0.6,1,2,0.5,6,10,0.6,2,6,8,0,2,1,1,2,25,-2,1
104,22018,202326,0021800923,"FEB 28, 2019",GSW @ ORL,L,32,8,16,0.5,0,4,0.0,5,6,0.833,0,11,11,2,1,1,3,3,21,-16,1
105,22018,202326,0021800897,"FEB 25, 2019",GSW @ CHA,W,31,9,15,0.6,1,4,0.25,5,5,1.0,1,10,11,3,1,3,1,3,24,10,1
106,22018,202326,0021800892,"FEB 23, 2019",GSW vs. HOU,L,27,4,12,0.333,1,3,0.333,4,4,1.0,4,10,14,2,3,4,6,4,13,-17,1
107,22018,202326,0021800871,"FEB 21, 2019",GSW vs. SAC,W,27,6,12,0.5,1,4,0.25,4,4,1.0,1,9,10,3,0,1,2,5,17,-6,1
108,22018,202326,0021800852,"FEB 12, 2019",GSW vs. UTA,W,28,4,17,0.235,1,6,0.167,3,5,0.6,1,9,10,5,2,0,2,3,12,8,1
109,22018,202326,0021800838,"FEB 10, 2019",GSW vs. MIA,W,27,2,6,0.333,0,3,0.0,3,4,0.75,2,1,3,1,2,3,2,3,7,-12,1
110,22018,202326,0021800822,"FEB 08, 2019",GSW @ PHX,W,27,7,11,0.636,1,2,0.5,3,6,0.5,2,3,5,4,2,1,4,3,18,-14,1
111,22018,202326,0021800810,"FEB 06, 2019",GSW vs. SAS,W,17,3,6,0.5,0,2,0.0,9,13,0.692,1,5,6,3,1,2,2,3,15,8,1
112,22018,202326,0021800782,"FEB 02, 2019",GSW vs. LAL,W,25,5,15,0.333,1,5,0.2,7,7,1.0,1,9,10,4,0,2,1,3,18,4,1
113,22018,202326,0021800768,"JAN 31, 2019",GSW vs. PHI,L,25,3,10,0.3,0,2,0.0,1,2,0.5,1,5,6,6,3,1,3,4,7,-4,1
114,22018,202326,0021800745,"JAN 28, 2019",GSW @ IND,W,25,7,12,0.583,1,2,0.5,7,9,0.778,0,6,6,4,0,0,2,4,22,7,1
115,22018,202326,0021800732,"JAN 26, 2019",GSW @ BOS,W,23,4,9,0.444,1,2,0.5,6,7,0.857,1,7,8,3,3,1,3,5,15,-8,1
116,22018,202326,0021800716,"JAN 24, 2019",GSW @ WAS,W,24,8,12,0.667,1,1,1.0,0,0,0.0,0,6,6,3,0,1,2,2,17,-8,1
117,22018,202326,0021800701,"JAN 21, 2019",GSW @ LAL,W,21,2,9,0.222,0,2,0.0,4,5,0.8,3,6,9,5,0,0,1,4,8,24,1
118,22018,202326,0021800676,"JAN 18, 2019",GSW @ LAC,W,15,5,11,0.455,3,4,0.75,1,2,0.5,1,5,6,3,1,1,1,6,14,21,1
119,22017,202326,0021700720,"JAN 26, 2018",NOP vs. HOU,W,30,6,12,0.5,0,2,0.0,3,5,0.6,1,12,13,11,3,0,5,4,15,16,1
120,22017,202326,0021700701,"JAN 24, 2018",NOP @ CHA,W,30,5,10,0.5,2,5,0.4,4,7,0.571,1,12,13,5,1,5,8,4,16,-3,1
121,22017,202326,0021700692,"JAN 22, 2018",NOP vs. CHI,W,52,13,29,0.448,5,11,0.455,13,14,0.929,7,16,23,10,4,1,5,3,44,13,1
122,22017,202326,0021700677,"JAN 20, 2018",NOP vs. MEM,W,39,7,13,0.538,2,6,0.333,8,12,0.667,0,10,10,5,2,1,4,5,24,9,1
123,22017,202326,0021700654,"JAN 17, 2018",NOP @ ATL,L,35,6,17,0.353,1,3,0.333,6,8,0.75,5,9,14,7,1,2,5,4,19,-1,1
124,22017,202326,0021700650,"JAN 16, 2018",NOP @ BOS,W,43,7,20,0.35,1,6,0.167,4,6,0.667,3,12,15,5,3,0,7,5,19,-6,1
125,22017,202326,0021700635,"JAN 14, 2018",NOP @ NYK,W,45,4,16,0.25,0,5,0.0,7,12,0.583,3,12,15,5,7,3,5,5,15,14,1
126,22017,202326,0021700624,"JAN 12, 2018",NOP vs. POR,W,36,9,21,0.429,3,7,0.429,3,3,1.0,3,16,19,8,0,2,5,4,24,12,1
127,22017,202326,0021700609,"JAN 10, 2018",NOP @ MEM,L,40,6,15,0.4,5,8,0.625,12,17,0.706,1,7,8,3,0,2,5,5,29,4,1
128,22017,202326,0021700595,"JAN 08, 2018",NOP vs. DET,W,40,7,14,0.5,1,6,0.167,5,7,0.714,2,8,10,4,2,2,5,4,20,12,1
129,22017,202326,0021700584,"JAN 06, 2018",NOP @ MIN,L,39,6,11,0.545,2,5,0.4,9,10,0.9,2,13,15,5,0,3,7,4,23,-14,1
130,22017,202326,0021700564,"JAN 03, 2018",NOP @ UTA,W,31,7,11,0.636,2,4,0.5,3,3,1.0,3,8,11,1,2,1,4,5,19,0,1
131,22017,202326,0021700532,"DEC 30, 2017",NOP vs. NYK,L,40,9,19,0.474,3,6,0.5,8,9,0.889,2,17,19,4,1,0,1,3,29,-3,1
132,22017,202326,0021700525,"DEC 29, 2017",NOP vs. DAL,L,44,11,24,0.458,3,10,0.3,7,8,0.875,3,17,20,8,2,5,6,4,32,-12,1
133,22017,202326,0021700511,"DEC 27, 2017",NOP vs. BKN,W,32,10,19,0.526,2,6,0.333,5,6,0.833,1,13,14,5,1,1,2,2,27,39,1
134,22017,202326,0021700486,"DEC 23, 2017",NOP @ MIA,W,29,5,7,0.714,1,2,0.5,5,6,0.833,1,6,7,8,2,3,5,5,16,19,1
135,22017,202326,0021700472,"DEC 22, 2017",NOP @ ORL,W,33,9,16,0.563,0,3,0.0,8,11,0.727,2,9,11,6,3,0,4,5,26,12,1
136,22017,202326,0021700452,"DEC 19, 2017",NOP @ WAS,L,36,8,17,0.471,1,5,0.2,9,11,0.818,2,11,13,4,0,0,2,2,26,2,1
137,22017,202326,0021700427,"DEC 15, 2017",NOP @ DEN,L,33,9,17,0.529,5,8,0.625,6,10,0.6,2,2,4,4,1,1,9,5,29,-9,2
138,22017,202326,0021700410,"DEC 13, 2017",NOP vs. MIL,W,37,10,16,0.625,2,4,0.5,4,4,1.0,4,9,13,7,0,1,9,4,26,4,1
139,22017,202326,0021700392,"DEC 11, 2017",NOP @ HOU,L,33,8,17,0.471,2,3,0.667,6,11,0.545,2,12,14,8,1,0,4,4,24,11,1
140,22017,202326,0021700389,"DEC 10, 2017",NOP vs. PHI,W,29,7,10,0.7,2,3,0.667,7,9,0.778,0,9,9,2,1,1,2,5,23,-3,1
141,22017,202326,0021700373,"DEC 08, 2017",NOP vs. SAC,L,41,14,30,0.467,4,10,0.4,6,7,0.857,1,10,11,4,3,0,8,5,38,-2,1
142,22017,202326,0021700360,"DEC 06, 2017",NOP vs. DEN,W,40,12,25,0.48,2,6,0.333,14,21,0.667,7,15,22,4,0,4,6,3,40,1,1
143,22017,202326,0021700346,"DEC 04, 2017",NOP vs. GSW,L,32,7,15,0.467,3,6,0.5,2,4,0.5,0,11,11,7,5,3,7,3,19,-32,1
144,22017,202326,0021700333,"DEC 02, 2017",NOP @ POR,W,34,14,28,0.5,2,7,0.286,8,13,0.615,1,7,8,0,0,1,2,2,38,9,1
145,22017,202326,0021700325,"DEC 01, 2017",NOP @ UTA,L,39,8,21,0.381,2,4,0.5,5,6,0.833,3,10,13,4,0,1,1,5,23,-4,2
146,22017,202326,0021700309,"NOV 29, 2017",NOP vs. MIN,L,39,7,15,0.467,1,6,0.167,2,3,0.667,3,7,10,6,1,1,4,2,17,-18,1
147,22017,202326,0021700284,"NOV 25, 2017",NOP @ GSW,L,31,5,11,0.455,2,4,0.5,3,6,0.5,1,6,7,4,1,5,6,5,15,-6,1
148,22017,202326,0021700275,"NOV 24, 2017",NOP @ PHX,W,30,6,12,0.5,2,4,0.5,5,8,0.625,2,8,10,6,2,0,6,2,19,19,2
149,22017,202326,0021700262,"NOV 22, 2017",NOP vs. SAS,W,32,8,20,0.4,1,7,0.143,7,9,0.778,4,11,15,3,1,2,6,2,24,5,2
150,22017,202326,0021700248,"NOV 20, 2017",NOP vs. OKC,W,26,7,17,0.412,0,5,0.0,4,4,1.0,2,7,9,4,2,1,3,2,18,-11,1
151,22017,202326,0021700226,"NOV 17, 2017",NOP @ DEN,L,25,6,16,0.375,0,3,0.0,2,3,0.667,2,4,6,4,0,0,3,4,14,-34,1
152,22017,202326,0021700211,"NOV 15, 2017",NOP vs. TOR,L,31,9,19,0.474,3,7,0.429,4,4,1.0,3,6,9,5,4,1,6,5,25,-2,1
153,22017,202326,0021700195,"NOV 13, 2017",NOP vs. ATL,W,35,6,12,0.5,3,6,0.5,7,10,0.7,1,15,16,7,3,0,7,1,22,1,2
154,22017,202326,0021700178,"NOV 11, 2017",NOP vs. LAC,W,37,14,23,0.609,4,8,0.5,3,5,0.6,0,15,15,5,0,1,8,2,35,5,1
155,22017,202326,0021700165,"NOV 09, 2017",NOP @ TOR,L,39,8,24,0.333,2,10,0.2,2,6,0.333,1,14,15,5,1,1,7,4,20,-7,1
156,22017,202326,0021700150,"NOV 07, 2017",NOP @ IND,W,38,12,25,0.48,4,10,0.4,4,5,0.8,3,10,13,6,0,2,2,5,32,6,1
157,22017,202326,0021700133,"NOV 04, 2017",NOP @ CHI,W,43,6,20,0.3,2,8,0.25,11,13,0.846,0,11,11,4,1,1,3,3,25,5,1
158,22017,202326,0021700125,"NOV 03, 2017",NOP @ DAL,W,39,8,16,0.5,0,4,0.0,4,4,1.0,2,20,22,7,1,0,4,5,20,6,1
159,22017,202326,0021700113,"NOV 01, 2017",NOP vs. MIN,L,41,10,21,0.476,5,10,0.5,10,10,1.0,1,8,9,6,6,3,8,2,35,-8,2
160,22017,202326,0021700097,"OCT 30, 2017",NOP vs. ORL,L,39,5,14,0.357,2,7,0.286,0,1,0.0,0,12,12,7,3,1,6,5,12,5,2
161,22017,202326,0021700077,"OCT 28, 2017",NOP vs. CLE,W,32,11,20,0.55,2,6,0.333,5,5,1.0,1,11,12,10,3,0,1,2,29,23,1
162,22017,202326,0021700069,"OCT 26, 2017",NOP @ SAC,W,44,14,25,0.56,3,5,0.6,10,12,0.833,8,15,23,6,1,1,4,5,41,1,1
