,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
24,22021,1630567,0022100896,"FEB 25, 2022",TOR @ CHA,L,32,13,18,0.722,0,1,0.0,2,2,1.0,2,3,5,1,2,0,3,1,28,-24,1
25,22021,1630567,0022100880,"FEB 16, 2022",TOR @ MIN,W,32,4,9,0.444,1,3,0.333,0,0,0.0,0,4,4,4,3,1,1,0,9,0,1
26,22021,1630567,0022100863,"FEB 14, 2022",TOR @ NOP,L,20,2,10,0.2,0,2,0.0,1,2,0.5,2,2,4,0,0,1,0,0,5,-25,1
27,22021,1630567,0022100850,"FEB 12, 2022",TOR vs. DEN,L,30,7,14,0.5,0,1,0.0,3,5,0.6,1,4,5,1,3,0,1,3,17,-8,1
28,22021,1630567,0022100834,"FEB 10, 2022",TOR @ HOU,W,33,4,9,0.444,1,5,0.2,0,0,0.0,2,5,7,6,1,0,1,2,9,7,1
29,22021,1630567,0022100827,"FEB 09, 2022",TOR @ OKC,W,31,5,9,0.556,1,1,1.0,6,6,1.0,0,2,2,4,0,0,1,1,17,22,1
30,22021,1630567,0022100810,"FEB 07, 2022",TOR @ CHA,W,31,4,9,0.444,1,2,0.5,6,7,0.857,0,8,8,3,1,0,2,5,15,7,1
31,22021,1630567,0022100790,"FEB 04, 2022",TOR vs. ATL,W,38,6,11,0.545,1,2,0.5,3,4,0.75,1,8,9,4,2,0,5,1,16,2,1
32,22021,1630567,0022100430,"FEB 03, 2022",TOR vs. CHI,W,37,9,16,0.563,2,4,0.5,1,2,0.5,3,5,8,2,0,1,1,2,21,-8,1
33,22021,1630567,0022100784,"FEB 01, 2022",TOR vs. MIA,W,42,5,13,0.385,1,2,0.5,0,0,0.0,2,7,9,2,0,0,1,4,11,5,1
34,22021,1630567,0022100767,"JAN 31, 2022",TOR @ ATL,W,36,3,7,0.429,0,2,0.0,1,1,1.0,2,4,6,1,1,3,2,2,7,9,1
35,22021,1630567,0022100748,"JAN 29, 2022",TOR @ MIA,W,56,7,13,0.538,3,6,0.5,5,6,0.833,3,6,9,3,1,0,3,4,22,9,1
36,22021,1630567,0022100472,"JAN 26, 2022",TOR @ CHI,L,38,6,11,0.545,0,3,0.0,4,6,0.667,0,5,5,7,0,1,3,2,16,-10,1
37,22021,1630567,0022100702,"JAN 23, 2022",TOR vs. POR,L,34,3,14,0.214,3,11,0.273,0,0,0.0,2,4,6,6,1,2,2,1,9,-18,1
38,22021,1630567,0022100689,"JAN 21, 2022",TOR @ WAS,W,40,12,19,0.632,0,1,0.0,3,4,0.75,3,5,8,1,1,0,2,3,27,-5,1
39,22021,1630567,0022100675,"JAN 19, 2022",TOR @ DAL,L,28,4,9,0.444,1,3,0.333,2,2,1.0,2,3,5,0,1,1,0,5,11,-3,1
40,22021,1630567,0022100662,"JAN 17, 2022",TOR @ MIA,L,39,6,18,0.333,2,5,0.4,2,3,0.667,1,7,8,6,1,0,2,4,16,-5,1
41,22021,1630567,0022100633,"JAN 14, 2022",TOR @ DET,L,33,4,13,0.308,0,4,0.0,0,0,0.0,3,4,7,2,1,0,1,3,8,-8,1
42,22021,1630567,0022100599,"JAN 09, 2022",TOR vs. NOP,W,33,3,10,0.3,1,3,0.333,0,0,0.0,1,3,4,2,0,0,2,2,7,4,1
43,22021,1630567,0022100584,"JAN 07, 2022",TOR vs. UTA,W,31,5,14,0.357,0,3,0.0,1,2,0.5,5,4,9,6,1,1,1,1,11,-9,1
44,22021,1630567,0022100573,"JAN 05, 2022",TOR @ MIL,W,38,2,6,0.333,0,2,0.0,2,4,0.5,2,4,6,4,1,0,4,5,6,4,1
45,22021,1630567,0022100563,"JAN 04, 2022",TOR vs. SAS,W,33,4,7,0.571,0,2,0.0,3,4,0.75,2,7,9,8,1,1,1,4,11,15,1
46,22021,1630567,0022100545,"JAN 02, 2022",TOR vs. NYK,W,30,4,9,0.444,2,5,0.4,3,4,0.75,1,3,4,0,1,1,4,2,13,19,1
47,22021,1630567,0022100443,"DEC 18, 2021",TOR vs. GSW,W,33,8,12,0.667,0,2,0.0,5,7,0.714,4,4,8,6,0,0,1,3,21,26,1
48,22021,1630567,0022100413,"DEC 14, 2021",TOR @ BKN,L,44,7,13,0.538,3,5,0.6,6,8,0.75,7,5,12,5,0,0,2,4,23,-7,1
49,22021,1630567,0022100406,"DEC 13, 2021",TOR vs. SAC,W,32,6,14,0.429,1,2,0.5,3,4,0.75,0,3,3,2,0,5,0,4,16,19,1
50,22021,1630567,0022100385,"DEC 10, 2021",TOR vs. NYK,W,41,6,12,0.5,0,1,0.0,0,0,0.0,4,11,15,3,2,2,1,4,12,14,1
51,22021,1630567,0022100371,"DEC 08, 2021",TOR vs. OKC,L,39,8,17,0.471,2,7,0.286,0,0,0.0,3,5,8,5,1,2,1,1,18,-8,1
52,22021,1630567,0022100351,"DEC 05, 2021",TOR vs. WAS,W,37,5,10,0.5,0,2,0.0,1,2,0.5,1,5,6,1,0,1,1,5,11,11,1
53,22021,1630567,0022100329,"DEC 02, 2021",TOR vs. MIL,W,39,5,9,0.556,3,6,0.5,0,0,0.0,2,5,7,4,3,1,0,5,13,1,1
54,22021,1630567,0022100315,"NOV 30, 2021",TOR vs. MEM,L,38,8,16,0.5,3,6,0.5,0,0,0.0,2,5,7,3,2,4,4,1,19,-11,1
55,22021,1630567,0022100302,"NOV 28, 2021",TOR vs. BOS,L,37,7,16,0.438,4,9,0.444,3,4,0.75,5,2,7,3,2,1,3,3,21,-22,1
56,22021,1630567,0022100284,"NOV 26, 2021",TOR @ IND,L,35,5,9,0.556,0,0,0.0,7,9,0.778,3,4,7,4,2,1,1,4,17,-13,1
57,22021,1630567,0022100272,"NOV 24, 2021",TOR @ MEM,W,39,8,14,0.571,1,3,0.333,0,0,0.0,3,6,9,3,0,0,3,1,17,18,1
58,22021,1630567,0022100252,"NOV 21, 2021",TOR @ GSW,L,28,3,11,0.273,2,3,0.667,2,7,0.286,5,8,13,5,2,0,2,4,10,-18,1
59,22021,1630567,0022100238,"NOV 19, 2021",TOR @ SAC,W,33,1,8,0.125,0,0,0.0,0,0,0.0,1,6,7,6,1,1,0,2,2,2,1
60,22021,1630567,0022100229,"NOV 18, 2021",TOR @ UTA,L,35,5,11,0.455,0,2,0.0,0,0,0.0,4,2,6,6,1,0,2,1,10,-10,1
61,22021,1630567,0022100208,"NOV 15, 2021",TOR @ POR,L,40,6,14,0.429,0,1,0.0,6,6,1.0,1,7,8,2,0,0,3,2,18,-7,1
62,22021,1630567,0022100189,"NOV 13, 2021",TOR vs. DET,L,38,4,10,0.4,0,0,0.0,3,4,0.75,1,5,6,4,1,0,3,2,11,-5,1
63,22021,1630567,0022100171,"NOV 11, 2021",TOR @ PHI,W,39,6,13,0.462,0,0,0.0,1,1,1.0,6,3,9,4,1,2,2,2,13,11,1
64,22021,1630567,0022100160,"NOV 10, 2021",TOR @ BOS,L,32,7,11,0.636,0,0,0.0,7,8,0.875,1,6,7,4,0,0,3,4,21,-5,1
65,22021,1630567,0022100139,"NOV 07, 2021",TOR vs. BKN,L,31,4,7,0.571,0,1,0.0,0,0,0.0,1,6,7,4,5,0,1,5,8,-7,1
66,22021,1630567,0022100127,"NOV 05, 2021",TOR vs. CLE,L,38,7,19,0.368,0,0,0.0,0,0,0.0,6,3,9,4,1,2,0,1,14,5,1
67,22021,1630567,0022100081,"OCT 30, 2021",TOR @ IND,W,35,9,17,0.529,0,1,0.0,3,6,0.5,2,10,12,1,1,0,1,2,21,1,1
68,22021,1630567,0022100071,"OCT 29, 2021",TOR vs. ORL,W,37,9,14,0.643,1,2,0.5,2,2,1.0,2,7,9,1,2,1,1,1,21,-13,1
69,22021,1630567,0022100058,"OCT 27, 2021",TOR vs. IND,W,36,8,17,0.471,0,0,0.0,2,2,1.0,3,4,7,7,0,2,2,3,18,6,1
70,22021,1630567,0022100046,"OCT 25, 2021",TOR vs. CHI,L,39,6,8,0.75,0,1,0.0,1,2,0.5,1,3,4,0,1,1,6,2,13,-10,1
71,22021,1630567,0022100029,"OCT 23, 2021",TOR vs. DAL,L,30,6,12,0.5,0,2,0.0,5,7,0.714,4,4,8,2,0,0,0,5,17,7,1
72,22021,1630567,0022100020,"OCT 22, 2021",TOR @ BOS,W,35,11,17,0.647,1,2,0.5,2,2,1.0,6,7,13,2,0,0,1,1,25,29,1
73,22021,1630567,0022100006,"OCT 20, 2021",TOR vs. WAS,L,33,5,13,0.385,0,1,0.0,2,3,0.667,3,6,9,1,1,0,6,5,12,-11,1
